
"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digikey","Family","Field4","Field5","Field6","Field7","Field8","MPN","Manufacturer","Part Description","Status"
"1","5","C1, C3, C4, C7, C8","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","311-1361-1-ND","","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","","","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)",""
"2","8","C10, C11, C12, C13, C14, C15, C16, C9","DNP","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","","","","","",""
"3","4","C17, C18, C19, C21","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","311-1355-1-ND","","","","","","","CC0805ZKY5V6BB106","","",""
"4","1","C2","47uF","Device:CP","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","","","","","","1189-1004-ND","","","","","","","","","",""
"5","2","C20, C22","100uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x6.5","~","","","","","493-9703-1-ND","","","","","","","UWF1A101MCL1GS","","",""
"6","1","C23","33pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","311-1361-1-ND","","","","","","","","","",""
"7","1","C5","22uF","Device:CP","Capacitor_SMD:CP_Elec_8x6.5","","","","","","4447PHCT-ND","","","","","","","MAL214699801E3","","",""
"8","1","D1","VTVS58ASMF-HM3-08","taylor_kicad:tvs_diode","Diode_SMD:D_SMF","https://www.onsemi.com/pub/Collateral/ESD5Z2.5T1-D.PDF","Circuit Protection","https://www.onsemi.com/pub/Collateral/ESD5Z2.5T1-D.PDF","/product-detail/en/on-semiconductor/ESD5Z3.3T1G/ESD5Z3.3T1GOSCT-ND/1967044","TVS Diode 57.6 volts","112-VTVS58ASMF-HM3-08CT-ND","TVS - Diodes","","","","","","VTVS58ASMF-HM3-08","ON Semiconductor","","Active"
"9","1","D10","LED_GREEN","Device:LED","LED_SMD:LED_1206_3216Metric","~","","","","","160-1404-1-ND","","","","","","","LTST-C150KGKT","","",""
"10","2","D11, D12","CD-HD201","dk_Diodes-Bridge-Rectifiers:CD2320-B11000_Obsolete","taylor_footprints:CD-HD201","https://media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/CD2320-B1.pdf","Discrete Semiconductor Products","https://media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/CD2320-B1.pdf","/product-detail/en/bourns-inc/CD2320-B11000/CD2320-B11000CT-ND/3741943","BRIDGE RECT 1PHASE 1KV 1A 2320","1514-CBRDFSH2-100TR13CT-ND","Diodes - Bridge Rectifiers","","","","","","CBRDFSH2-100 TR13","Bourns Inc.","","Obsolete NonStock"
"11","1","D2","D","Device:D","taylor_footprints:DO214AC","~","","","","","SK32A-LTPMSCT-ND","","","","","","","SK32A-LTP","","",""
"12","1","D3","D","Device:D","Diode_SMD:D_SMA","~","","","","","112-VSS8D2M10HM3/ICT-ND","","","","","","","VSS8D2M10HM3/I","","",""
"13","1","D4","LED_RED","Device:LED","LED_SMD:LED_1206_3216Metric","~","","","","","160-1405-1-ND","","","","","","","LTST-C150KRKT","","",""
"14","1","D5","LED_ORANGE","Device:LED","LED_SMD:LED_1206_3216Metric","~","","","","","67-1696-1-ND","","","","","","","SML-LX1206SOC-TR","","",""
"15","4","D6, D7, D8, D9","WS2812B","LED:WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","","","","","1568-1800-ND","","","","","","","COM-11821","","",""
"16","1","F1","Polyfuse","Device:Polyfuse","Fuse:Fuse_1206_3216Metric","~","","","","","507-1802-1-ND","","","","","","","0ZCJ0050FF2G","","",""
"17","1","J1","USB_A","taylor_kicad:USB_A","digikey-footprints:USB_A_Female_UE27AC54100"," ~","","","","","UE27AC54100-ND","","","","","","","UE27AC54100","","",""
"18","5","J10, J14, J18, J8, J9","Conn_01x04","Connector_Generic:Conn_01x04","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~","","","","","WM4202-ND","","","","","","","0022232041","","",""
"19","2","J11, J13","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","WM4201-ND","","","","","","","0022232031","","",""
"20","3","J12, J16, J17","Conn_01x05","Connector_Generic:Conn_01x05","Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical","~","","","","","WM2703-ND","","","","","","","0022112052","","",""
"21","1","J15","1747981-1","CM4IO:HDMI_A_1.4","taylor_footprints:TE_1747981-1","https://en.wikipedia.org/wiki/HDMI","","","","","A35071CT-ND","","","","","","","1747981-1","","",""
"22","2","J19, J20","Conn_01x22_Female","Connector:Conn_01x22_Female","Connector_FFC-FPC:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","https://www.hirose.com/product/document?clcode=&productname=&series=FH12&documenttype=Catalog&lang=en&documentid=D31648_en","","","","","HFJ122CT-ND","","","","","Hirose","","FH12-22S-0.5SH(55)","","22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle",""
"23","1","J2","Conn_01x02","Connector_Generic:Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~","","","","","900-0022232021-ND","","","","","","","0022232021","","",""
"24","1","J3","Conn_02x10_Counter_Clockwise","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","~","","","","","S9172-ND","","","","","","","SBH11-PBPC-D10-ST-BK","","",""
"25","1","J4","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_GCT_USB4085","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","","","","2073-USB4085-GF-ACT-ND","","","","","","","USB4085-GF-A","","",""
"26","1","J5","0826-1X1T-GH-F","2021-10-21_03-20-16:0826-1X1T-GH-F","footprints6:0826-1X1T-GH-F","","","","","","507-1569-ND","","","","","","","0826-1X1T-GH-F","","",""
