Qty,Reference(s),Value,Digikey
5,U6,PDQ30-Q48-S5-D,102-3897-ND
5,D3,D,112-VSS8D2M10HM3/ICT-ND
5,D1,VTVS58ASMF-HM3-08,112-VTVS58ASMF-HM3-08CT-ND
5,C2,47uF,1189-1004-ND
10,"D11, D12",CD-HD201,1514-CBRDFSH2-100TR13CT-ND
20,"D6, D7, D8, D9",WS2812B,1568-1800-ND
5,D10,LED_GREEN,160-1404-1-ND
5,D4,LED_RED,160-1405-1-ND
5,J4,USB_C_Receptacle_USB2.0,2073-USB4085-GF-ACT-ND
15,"R11, R16, R22",1k,311-1.00KCRCT-ND
10,"R13, R21",10k,311-10.0KCRCT-ND
5,R25,3.9k,311-10.0KCRCT-ND
30,"R12, R14, R15, R19, R23, R24",100R,311-100CRCT-ND
20,"C17, C18, C19, C21",10uF,311-1355-1-ND
25,"C1, C3, C4, C7, C8",0.1uF,311-1361-1-ND
5,C23,33pF,311-1361-1-ND
5,TP1,TestPoint,36-5015CT-ND
5,C5,22uF,4447PHCT-ND
5,L1,L,445-6544-1-ND
10,"C20, C22",100uF,493-9703-1-ND
5,J5,0826-1X1T-GH-F,507-1569-ND
5,F1,Polyfuse,507-1802-1-ND
20,"SW1, SW2, SW3, SW4",SW_SPDT,563-1153-ND
5,D5,LED_ORANGE,67-1696-1-ND
10,"U3, U4",AOZ8904CIL,785-1755-1-ND
5,J2,Conn_01x02,900-0022232021-ND
5,R10,220R,A129741CT-ND
5,J15,1747981-1,A35071CT-ND
5,S1,RUN_SW,CKN9112CT-ND
5,Z1,15v/200mW,DDZ9702DICT-ND
5,Q1,Si2328DS,DMN10H220L-7DICT-ND
10,"J19, J20",Conn_01x22_Female,HFJ122CT-ND
5,U5,ISL54222AIUZ,ISL54222AIUZ-ND
5,U11,MCP23016T-I/SO,MCP23016T-I/SOCT-ND
30,"Q2, Q3, Q4, Q5, Q6, Q7",2N7002,MMBF0201NLT1GOSCT-ND
5,Z2,28v/500mW,MMSZ5255B-FDICT-ND
10,"R4, R5",5.1k,RMCF0805FT130RCT-ND
20,"R1, R17, R18, R2",2.2k 1%,RMCF0805FT2K10CT-ND
5,R3,24.1k/1%,RMCF0805FT750RCT-ND
5,R6,249k,RMCF0805FT750RCT-ND
10,"R7, R8",470R,RMCF0805FT750RCT-ND
5,R9,51k,RMCF0805FT750RCT-ND
5,J6,Raspberry_Pi_2_3,S6104-ND
5,J3,Conn_02x10_Counter_Clockwise,S9172-ND
5,D2,D,SK32A-LTPMSCT-ND
5,POT1,TC33X-2-103E,TC33X-502ECT-ND
10,"U7, U8",buffer,TC7SH34FULJ(CTCT-ND
5,J1,USB_A,UE27AC54100-ND
15,"J12, J16, J17",Conn_01x05,WM2703-ND
5,J7,Conn_01x08,WM4117-ND
10,"J11, J13",Conn_01x03,WM4201-ND
25,"J10, J14, J18, J8, J9",Conn_01x04,WM4202-ND
