Qty,Reference(s),Value,Digikey
20,U4,UCC2946D,296-2645-5-ND
40,"R3, R4",1M,311-1.00MCRCT-ND
40,"R11, R2",10k,311-10.0KCRCT-ND
20,R17,100R,311-100CRCT-ND
100,"C1, C10, C11, C7, C8",0.1uF,311-1361-1-ND
20,J15,Conn_01x05,455-1707-ND
40,"C5, C6",3900pF NP0,490-6387-1-ND
20,U1,PS2805A-1-A,559-1105-ND
40,"D1, D2",D,641-1645-1-ND
120,"C91, C92, C93, C94, C95, C96",47pF,720-VJ0805A470GXJPW1BCCT-ND
40,"C2, C9",10uF,732-8487-1-ND
20,J2,DNP,900-0022232021-ND
20,J7,Conn_01x02,900-0022232021-ND
20,J1,Conn_01x20_Male,900-0022284205-ND
20,R1,220R,A129741CT-ND
20,U6,BV1LC105FJ-C,BV1LC105FJ-CE2CT-ND
40,"D4, D5",846-ESD16VHYFHT116CT-ND,CDSOT23-SM712CT-ND
20,U2,THVD1451D,MAX3490EESA+CT-ND
40,"U7, U8",1558667-1,PB2398-ND
20,J16,RJ45_LED_Shielded,RJHSE-5381-ND
40,"R6, R9",130R,RMCF0805FT130RCT-ND
60,"R12, R13, R14",470R,RMCF0805FT470RCT-ND
80,"R10, R5, R7, R8",750R,RMCF0805FT750RCT-ND
20,J91,Conn_01x12_Female,S1011EC-12-ND
40,"U3, U5",buffer,TC7SH34FULJ(CTCT-ND
40,"J92, J93",Conn_01x05_Male,WM2703-ND
80,"J10, J5, J6, J9",Conn_01x03,WM4201-ND
