
"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Digikey","Digikey_alt","Family","MPN","Manufacturer","Status"
"1","5","C1, C10, C11, C7, C8","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","311-1361-1-ND","","","","",""
"2","2","C2, C9","10uF","Device:CP","Capacitor_SMD:C_Elec_5x5.4","","","","","","","732-8487-1-ND","","","","",""
"3","2","C3, C4","DNP","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","",""
"4","2","C5, C6","3900pF NP0","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","490-6387-1-ND","","","","",""
"5","6","C91, C92, C93, C94, C95, C96","47pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","720-VJ0805A470GXJPW1BCCT-ND","","","","",""
"6","2","D1, D2","D","Device:D","Diode_SMD:D_1206_3216Metric","~","","","","","","641-1645-1-ND","","","","",""
"7","2","D4, D5","CDSOT23-SM712","odrive_aux_interface-rescue:CDSOT23-SM712-dk_TVS-Diodes","digikey-footprints:SOT-23-3","https://www.bourns.com/docs/Product-Datasheets/CDSOT23-SM712.pdf","Circuit Protection","https://www.bourns.com/docs/Product-Datasheets/CDSOT23-SM712.pdf","/product-detail/en/bourns-inc/CDSOT23-SM712/CDSOT23-SM712CT-ND/1630607","TVS DIODE 7V/12V 14V/26V SOT23-3","CDSOT23-SM712CT-ND","CDSOT23-SM712CT-ND","846-ESD16VHYFHT116CT-ND","TVS - Diodes","CDSOT23-SM712","Bourns Inc.","Active"
"8","1","J1","Conn_01x20_Male","Connector:Conn_01x20_Male","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","~","","","","","","900-0022284205-ND","","","","",""
"9","4","J10, J5, J6, J9","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","","WM4201-ND","","","","",""
"10","1","J15","Conn_01x05","Connector_Generic:Conn_01x05","Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical","~","","","","","","455-1707-ND","","","","",""
"11","1","J16","RJ45_LED_Shielded","Connector:RJ45_LED_Shielded","Connector_RJ:RJ45_Amphenol_RJHSE538X","~","","","","","","RJHSE-5381-ND","","","","",""
"12","1","J2","DNP","Connector_Generic:Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~","","","","","","900-0022232021-ND","","","","",""
"13","1","J7","Conn_01x02","Connector_Generic:Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~","","","","","","900-0022232021-ND","","","","",""
"14","1","J91","Conn_01x12_Female","Connector:Conn_01x12_Female","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","~","","","","","","S1011EC-12-ND","","","","",""
"15","2","J92, J93","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical","~","","","","","","WM2703-ND","","","","",""
"16","2","JP1, JP2","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","","","","","","","",""
"17","1","Q1","DNP","dk_Transistors-FETs-MOSFETs-Single:FDV303N","digikey-footprints:SOT-23-3","https://www.onsemi.com/pub/Collateral/FDV303N-D.PDF","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/FDV303N-D.PDF","/product-detail/en/on-semiconductor/FDV303N/FDV303NCT-ND/458956","MOSFET N-CH 25V 680MA SOT-23","DMN10H220L-7DICT-ND","","","Transistors - FETs, MOSFETs - Single","FDV303N","ON Semiconductor","Active"
"18","1","R1","220R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","A129741CT-ND","","","","",""
"19","4","R10, R5, R7, R8","750R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","RMCF0805FT750RCT-ND","","","","",""
"20","2","R11, R2","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","311-10.0KCRCT-ND","","","","",""
"21","3","R12, R13, R14","470R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","RMCF0805FT470RCT-ND","","","","",""
"22","2","R15, R16","DNP","Device:R","Package_TO_SOT_THT:TO-247-2_Vertical","~","","","","","","","","","","",""
