
"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Digikey","MF","MP","MPN","PACKAGE","PRICE"
"1","2","C1, C4","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","311-1361-1-ND","","","","",""
"2","1","C2","1000pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","311-1469-1-ND","","","","",""
"3","1","C3","0.15uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","311-3393-1-ND","","","","",""
"4","2","D1, D2","BZX84Cxx","Diode:BZX84Cxx","Diode_SMD:D_SOT-23_ANK","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf","","","MMBZ5240B-FDICT-ND","","","MMBZ5240B-7-F","",""
"5","1","J1","Conn_01x04","Connector_Generic:Conn_01x04","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~","","","WM4202-ND","","","0022232041","",""
"6","1","J7","Conn_02x10_Counter_Clockwise","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","~","","","S9197-ND","","","SFH11-PBPC-D10-ST-BK","",""
"7","1","Q1","IXTA96P085T-TRL",":P_CHANNEL_1","taylor_footprints:TO-263-2-pad4","https://www.vishay.com/docs/69253/sud19p06.pdf","","","IXTA96P085T-TRLCT-ND","","","IXTA96P085T-TRL","",""
"8","1","Q2","IXTA96P085T-TRL",":P_CHANNEL_2","taylor_footprints:TO-263-2-pad4","https://www.vishay.com/docs/69253/sud19p06.pdf","","","IXTA96P085T-TRLCT-ND","","","IXTA96P085T-TRL","",""
"9","1","Q3","IXTA96P085T-TRL","taylor_kicad:P_CHANNEL","taylor_footprints:TO-263-2-pad4","https://www.vishay.com/docs/69253/sud19p06.pdf","","","IXTA96P085T-TRLCT-ND","","","IXTA96P085T-TRL","",""
"10","1","Q4","IXTA96P085T-TRL",":P_CHANNEL_3","taylor_footprints:TO-263-2-pad4","https://www.vishay.com/docs/69253/sud19p06.pdf","","","IXTA96P085T-TRLCT-ND","","","IXTA96P085T-TRL","",""
"11","2","R1, R2","330R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","A106061CT-ND","","","","",""
"12","2","R3, R5","200","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","311-200ARCT-ND","","","","",""
"13","3","R4, R6, R8","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","311-1.0KARCT-ND","","","RC0805FR-071KL","",""
"14","1","R7","DNS for ACS725 / 0R for ACS722","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","311-0.0ARCT-ND","","","","",""
"15","2","U1, U2","ACPL-214-500E","Isolator:ACPL-214-500E","Package_SO:SOP-4_4.4x2.6mm_P1.27mm","https://docs.broadcom.com/doc/AV02-0469EN","","","559-1105-ND","","","PS2805A-1-A","",""
"16","1","U3","ACS725xLCTR-10AU","Sensor_Current:ACS725xLCTR-10AU","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS725-Datasheet.ashx?la=en","","","620-1719-1-ND","","","ACS724LLCTR-10AB-T","",""
"17","1","U4","PDS1-S5-S12-M-TR","PDS1-S3-S3-M:PDS1-S3-S3-M","CONV_PDS1-S3-S3-M","","Bad","DC DC CONVERTER 12V 1W","102-2686-1-ND","CUI","PDS1-S12-S12-M","PDS1-S5-S12-M-TR","SMD-8 CUI","4.02 USD"
"18","1","U5","ADS1115IDGS","Analog_ADC:ADS1115IDGS","Package_SO:TSSOP-10_3x3mm_P0.5mm","http://www.ti.com/lit/ds/symlink/ads1113.pdf","","","296-25226-1-ND","","","ADS1014IDGST","",""
