
"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","Category","DESCRIPTION","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Digikey","Family","MF","MP","MPN","Manufacturer","PACKAGE","PRICE","Status"
"1","6","C1, C2, C3, C4, C5, C6","18pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","311-1102-1-ND","","","","","","","",""
"2","7","C10, C11, C12, C13, C7, C8, C9","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","311-1361-1-ND","","","","","","","",""
"3","1","C14","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","311-1355-1-ND","","","","","","","",""
"4","8","D1, D2, D3, D4, D5, D6, D7, D8","CDSOT23-SM712","dk_TVS-Diodes:CDSOT23-SM712","digikey-footprints:SOT-23-3","https://www.bourns.com/docs/Product-Datasheets/CDSOT23-SM712.pdf","","Circuit Protection","","https://www.bourns.com/docs/Product-Datasheets/CDSOT23-SM712.pdf","/product-detail/en/bourns-inc/CDSOT23-SM712/CDSOT23-SM712CT-ND/1630607","TVS DIODE 7V/12V 14V/26V SOT23-3","CDSOT23-SM712CT-ND","CDSOT23-SM712CT-ND","TVS - Diodes","","","CDSOT23-SM712","Bourns Inc.","","","Active"
"5","1","D10","D_TVS","Device:D_TVS","Diode_SMD:D_SOD-323","~","","","","","","","","DESD5V0U1BA-7DICT-ND","","","","DESD5V0U1BA-7","","","",""
"6","1","D9","LED","Device:LED","LED_SMD:LED_1206_3216Metric","~","","","","","","","","160-1405-1-ND","","","","","","","",""
"7","2","J1, J2","Conn_01x04","Connector_Generic:Conn_01x04","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~","","","","","","","","WM4202-ND","","","","","","","",""
"8","4","J10, J7, J8, J9","RJ45_LED_Shielded","Connector:RJ45_LED_Shielded","taylor_footprints:RJHSE-3381","~","","","","","","","","RJHSE-3381-ND","","","","","","","",""
"9","1","J11","Raspberry_Pi_2_3","Connector:Raspberry_Pi_2_3","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf","","","","","","","","S2012E-20-ND","","","","","","","",""
"10","3","R1, R3, R5","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","311-10.0KCRCT-ND","","","","","","","",""
"11","16","R10, R12, R14, R15, R16, R17, R18, R19, R21, R22, R24, R25, R27, R28, R30, R8","750R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","RMCF0805FT750RCT-ND","","","","","","","",""
"12","8","R11, R13, R20, R23, R26, R29, R7, R9","130R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","RMCF0805FT130RCT-ND","","","","","","","",""
"13","3","R2, R4, R6","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","311-1.0KARCT-ND","","","","","","","",""
"14","8","R31, R32, R33, R34, R35, R36, R37, R38","499R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","311-499CRCT-ND","","","","","","","",""
"15","1","R39","220R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","A129741CT-ND","","","","","","","",""
"16","9","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Keystone_5015_Micro-Minature","~","","","","","","","","36-5015CT-ND","","","","","","","",""
"17","3","U1, U2, U3","SC16IS752","SC16IS752:SC16IS752","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm","DOCUMENTATION","","","","","","","","568-4021-5-ND","","","","","","","",""
"18","4","U10, U11, U12, U9","THVD1451D","Interface_UART:THVD1451D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/thvd1451.pdf","","","","","","","","MAX3490EESA+CT-ND","","","","","","","",""
"19","5","U13, U4, U5, U6, U7","FOD8012AR2","2021-10-15_06-38-43:FOD8012AR2","taylor_footprints:FOD8012AR2","","","","","","","","","FOD8012A-ND","","","","","","","",""
"20","1","U14","buffer","taylor_kicad:SN74LVC1G07QDCKTQ1","footprints2:SN74LVC1G07QDCKTQ1","","","","","","","","","TC7SH34FULJ(CTCT-ND","","","","TC7SH34FU,LJ(CT","","","",""
"21","1","U8","PDS1-S3-S3-M","PDS1-S3-S3-M:PDS1-S3-S3-M","power_footprints:CONV_PDS1-S3-S3-M","","Bad","","PDS1 Series 1 W 12 VDC 84 mA Surface Mount DC-DC Isolated Converter","","","","","102-5720-ND","","CUI","PDS1-S12-S12-M","PDS1-S3-S3-M","","SMD-8 CUI","4.02 USD",""
"22","3","Y1, Y2, Y3","Crystal_GND24","Device:Crystal_GND24","Crystal:Crystal_SMD_Abracon_ABM3C-4Pin_5.0x3.2mm","~","","","","","","","","535-11286-1-ND","","","","","","","",""
