Qty,Reference(s),Value,Digikey
30,"C1, C2, C3, C4, C5, C6",18pF,311-1102-1-ND
35,"C10, C11, C12, C13, C7, C8, C9",0.1uF,311-1361-1-ND
5,C14,10uF,311-1355-1-ND
40,"D1, D2, D3, D4, D5, D6, D7, D8",CDSOT23-SM712,CDSOT23-SM712CT-ND
5,D10,D_TVS,DESD5V0U1BA-7DICT-ND
5,D9,LED,160-1405-1-ND
10,"J1, J2",Conn_01x04,WM4202-ND
20,"J10, J7, J8, J9",RJ45_LED_Shielded,RJHSE-3381-ND
5,J11,Raspberry_Pi_2_3,S2012E-20-ND
15,"R1, R3, R5",10K,311-10.0KCRCT-ND
80,"R10, R12, R14, R15, R16, R17, R18, R19, R21, R22, R24, R25, R27, R28, R30, R8",750R,RMCF0805FT750RCT-ND
40,"R11, R13, R20, R23, R26, R29, R7, R9",130R,RMCF0805FT130RCT-ND
15,"R2, R4, R6",1k,311-1.0KARCT-ND
40,"R31, R32, R33, R34, R35, R36, R37, R38",499R,311-499CRCT-ND
5,R39,220R,A129741CT-ND
45,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint,36-5015CT-ND
15,"U1, U2, U3",SC16IS752,568-4021-5-ND
20,"U10, U11, U12, U9",THVD1451D,MAX3490EESA+CT-ND
25,"U13, U4, U5, U6, U7",FOD8012AR2,FOD8012A-ND
5,U14,buffer,TC7SH34FULJ(CTCT-ND
5,U8,PDS1-S3-S3-M,102-5720-ND
15,"Y1, Y2, Y3",Crystal_GND24,535-11286-1-ND
