Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,20p,C1648
"C14, C15, C29, C30, C31, C33, C34, C35, C36, C37, C4",0603,11,100n,C14663
"C16, C32",0603,2,1u,C15849
C3,0805,1,10u,C15850
"C5, C7",1210,2,4.7uF 100V,C342614
C6,CP_Elec_8x10.5,1,47uF 63V solid,C5246568
D1,D_SMA,1,SS310,C15874
"D2, D33",D_SOD-323,2,Zener 10v,C85383
"D28, D29",D_SOD-323,2,1N4148WS,C2128
J2,Ckmtw-W-2510S06P_1x06_P2.54mm_Vertical,1,Conn_01x06,C140771
J3,PowerPole_PP45_1336G1_1x2_Horizontal,1,Power Output,
"J4, J5",PowerPole_PP45_1336G1_1x2_Horizontal,2,Conn_01x02,
L3,L_Chilisin_BMRB00060612,1,47uH,C5189962
"Q1, Q2",SOT-23,2,Q_NMOS_GSD,C2891566
"Q3, Q4, Q5, Q6",TO-252-2,4,100V 34A PMOS,C2758447
"R1, R2",1206,2,10k,C3013377
"R13, R15",2512,2,3mΩ,C2688862
"R3, R40",2512,2,2k 2 watt,C175463
"R34, R35, R37, R38",0603,4,50k 0.1%,C304067
"R36, R39",0603,2,5.1k 0.1%,C122969
R8,0603,1,1.1k,C22764
TP1,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,1,TestPoint,C5199814
U1,SOT-23-6,1,USBLC6-4SC6,C558419
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVSIQ,C113767
U3,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,C2845050
U4,RP2040-QFN-56,1,RP2040,C2040
U7,SOT-23-6,1,INA181A2,C2058784
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
