Designator,Mid X,Mid Y,Rotation,Layer
C1,108.344,-126.835999,180.0,top
C14,88.524,-119.845999,180.0,top
C15,103.234001,-120.645998,0.0,top
C16,87.634001,-122.905999,180.0,top
C2,105.484001,-121.336,90.0,top
C29,88.463999,-116.995999,90.0,top
C3,130.245,-121.925,90.0,top
C30,87.623999,-121.416,180.0,top
C31,100.256,-117.12,90.0,top
C32,90.064001,-117.055999,90.0,top
C33,98.723999,-117.119999,90.0,top
C34,91.954,-129.497999,180.0,top
C35,103.223999,-122.145999,0.0,top
C36,91.674,-117.145998,90.0,top
C37,89.285,-140.795,270.0,top
C4,85.212,-122.173998,90.0,top
C5,117.615,-122.325,90.0,top
C6,97.425,-167.725,180.0,top
C7,110.225001,-172.115,0.0,top
D1,116.215,-166.53,270.0,top
D2,114.89165,-133.50533,180.0,top
D28,120.974999,-114.740001,270.0,top
D29,87.11,-163.575,180.0,top
D33,133.675,-166.36,270.0,top
J2,115.827,-115.682001,180.0,top
J3,100.474999,-157.495,90.0,top
J4,121.055001,-131.475,270.0,top
J5,121.055001,-149.325,270.0,top
L3,109.524999,-166.63,180.0,top
Q1,116.859997,-172.395,0.0,top
Q2,106.56165,-130.965331,270.0,top
Q3,110.335,-158.47,180.0,top
Q4,123.335,-166.415,180.0,top
Q5,110.335,-150.36,180.0,top
Q6,110.335,-142.305001,180.0,top
R1,131.255,-166.389999,270.0,top
R13,100.405,-140.845,270.0,top
R15,96.164999,-140.845,270.0,top
R2,115.106651,-135.825331,180.0,top
R3,108.89665,-135.025331,0.0,top
R34,126.395,-115.255001,270.0,top
R35,123.835001,-115.795,180.0,top
R36,123.835,-113.785001,180.0,top
R37,88.284998,-168.975,180.0,top
R38,86.085001,-166.335,90.0,top
R39,88.095,-166.335,90.0,top
R40,122.845,-172.345,0.0,top
R8,103.664,-123.645999,0.0,top
TP1,80.905001,-140.875,90.0,top
U1,95.850002,-116.005001,180.0,top
U2,83.752,-126.602999,0.0,top
U3,124.175,-121.94,0.0,top
U4,95.994,-122.985999,90.0,top
U7,92.125,-140.805,90.0,top
Y1,108.244,-123.516,270.0,top
