Designator,Mid X,Mid Y,Rotation,Layer
C10,159.5,-60.134441,270.0,bottom
C11,159.5,-79.134441,270.0,bottom
C12,159.5,-98.134441,270.0,bottom
C13,159.5,-117.134441,270.0,bottom
C17,159.5,-136.134441,270.0,bottom
C18,140.5,-136.678881,90.0,bottom
C19,140.5,-117.678881,90.0,bottom
C20,140.5,-98.678881,90.0,bottom
C21,140.5,-79.678881,90.0,bottom
C22,140.5,-60.678881,90.0,bottom
C23,121.5,-60.134441,270.0,bottom
C24,121.5,-79.134441,270.0,bottom
C25,121.5,-98.134441,270.0,bottom
C26,121.5,-117.134441,270.0,bottom
C27,121.5,-136.134441,270.0,bottom
C5,178.5,-136.678881,90.0,bottom
C6,178.5,-117.678881,90.0,bottom
C7,178.5,-98.678881,90.0,bottom
C8,178.5,-79.678881,90.0,bottom
C9,178.5,-60.678881,90.0,bottom
D10,159.525,-117.556661,270.0,top
D11,159.475,-136.506661,270.0,top
D12,140.475,-136.38166,90.0,top
D13,140.475,-117.481661,90.0,top
D14,140.475,-98.281661,90.0,top
D15,140.525,-79.531661,90.0,top
D16,140.525,-60.231661,90.0,top
D17,121.475,-60.556661,270.0,top
D18,121.475,-79.656661,270.0,top
D19,121.575,-98.406661,270.0,top
D2,178.525,-136.481661,90.0,top
D20,121.525001,-117.606661,270.0,top
D21,121.475,-136.806661,270.0,top
D3,178.475,-117.331661,90.0,top
D4,178.525,-97.931661,90.0,top
D5,178.525,-79.281661,90.0,top
D6,178.525,-60.081661,90.0,top
D7,159.475,-60.506661,270.0,top
D8,159.525,-79.306661,270.0,top
D9,159.475,-98.506661,270.0,top
J1,126.659999,-154.55,90.0,top
J2,166.375,-173.115001,180.0,top
J3,150.0,-170.775,180.0,top
J4,176.955,-41.909999,270.0,top
J5,133.259998,-22.045,0.0,top
J6,150.0,-23.85,0.0,top
